pci,distance_ft,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
1,10,13,1.0,22,2900.0,4,0,0,0,n/a,n/a,1,0,0,0,0,0,0,288,11
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,211,4
1,10,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,250,11
1,1,15,1.0,0,0,0,0,0,0,3.8,ovl,1,1,2900.0,2,0,0,0,200,4
1,10,13,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,229,11
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,199,4
1,10,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,213,11
1,1,15,1.0,0,0,0,0,0,0,3.8,ovl,1,1,1700.0,1,0,0,0,226,3
1,10,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,244,11
1,1,15,1.0,0,0,0,0,0,0,3.9,ovl,1,1,1700.0,1,0,0,0,222,5
1,10,11,1.0,0,0,0,0,0,0,31.1,ovl,1,27,4900.0,1,0,0,0,274,-8
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,212,5
1,10,11,1.0,0,0,0,0,0,0,32.3,ovl,1,27,4900.0,1,0,0,0,248,-4
1,1,15,1.0,0,0,0,0,0,0,4.3,ovl,1,1,5200.0,3,0,0,0,195,5
1,10,11,1.0,0,0,0,0,0,0,32.8,ovl,1,27,4900.0,1,0,0,0,274,-5
1,1,15,1.0,0,0,0,0,0,0,3.8,ovl,1,1,1700.0,1,0,0,0,259,5
1,10,11,1.0,0,0,0,0,0,0,32.4,ovl,1,27,4900.0,1,0,0,0,265,-1
1,1,15,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,219,5
1,10,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,274,-1
